UEI,Start_Date,End_Date,Duration(Days),Main Cause,Location,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source
UEI-DFO-FL-2019-0007,9/13/2019,9/22/2019,9,Monsoonal rain,NA,NA,25.3928,74.3521,1.5,180233.95,0,NA,4500,NA,NA,NA,DFO
UEI-DFO-FL-2019-0008,9/15/2019,9/22/2019,7,Monsoonal rain,NA,NA,24.1511,77.3956,1.5,236728.11,0,NA,45000,NA,NA,NA,DFO
UEI-DFO-FL-2019-0009,10/25/2019,6/11/2019,Diffing the dates,Heavy Rain,NA,NA,27.0678,94.2459,1,106818.77,2,NA,1000,NA,NA,NA,DFO
UEI-DFO-FL-2019-0010,11/30/2019,6/12/2019,Diffing the dates,Heavy Rain,NA,NA,10.8488,78.8554,1.5,104755.46,30,NA,1000,NA,NA,NA,DFO
UEI-EM-DAT-FL-1926-0001,7/19/1926,7/19/1926,0,Riverine flood,Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1928-0001,10/19/1928,10/19/1928,0,NA,"Godavari, Vizagapatnam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1950-0001,7/11/1950,7/11/1950,0,Riverine flood,Saurashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1950-0002,/06/1950,/06/1950,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1953-0001,/06/1953,/06/1953,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1956-0001,8/1/1956,8/1/1956,0,NA,"Gujarat, Saurashtra, Kutch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1956-0002,9/9/1956,9/9/1956,0,NA,"Bihar, Uttar Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1956-0003,/10/1956,/10/1956,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1957-0001,9/9/1957,9/9/1957,0,NA,"Madya Pradesh, Uttar Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1957-0002,/09/1957,/09/1957,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1957-0003,/11/1957,/11/1957,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1958-0001,11/15/1958,11/15/1958,0,NA,Madras city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1959-0001,7/4/1959,7/4/1959,0,NA,Kutch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1959-0002,/07/1959,/07/1959,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1959-0003,/09/1959,/09/1959,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1960-0001,11/10/1960,11/10/1960,0,NA,"Maduri, Madras City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1960-0002,/07/1960,/07/1960,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1960-0003,/08/1960,/08/1960,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1960-0004,/09/1960,/09/1960,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1961-0001,/07/1961,/07/1961,Diffing the dates,NA,North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1961-0002,9/6/1961,9/6/1961,0,NA,"Central, West India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1961-0003,10/9/1961,10/9/1961,0,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1961-0004,/10/1961,/10/1961,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1962-0001,/08/1962,/08/1962,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1962-0002,/09/1962,/09/1962,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1963-0001,/07/1963,/07/1963,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1964-0001,/07/1964,/07/1964,Diffing the dates,NA,"Assam, Bihar, Punjab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1964-0002,/10/1964,/10/1964,Diffing the dates,NA,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1964-0003,/09/1964,/09/1964,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1964-0004,/09/1964,/09/1964,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1966-0001,/06/1966,/06/1966,Diffing the dates,NA,"Manipur, Assam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1967-0001,9/5/1967,9/5/1967,0,NA,"North, Central",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1968-0001,6/12/1968,6/12/1968,0,NA,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1968-0002,/07/1968,/07/1968,Diffing the dates,Flash flood,"(1) Rajasthan, Gujarat - (2) North-East, West Bengal, Assam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1968-0003,/08/1968,/08/1968,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1968-0004,/10/1968,/10/1968,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1970-0001,/07/1970,/07/1970,Diffing the dates,NA,"North-East, Western, North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1970-0002,9/2/1970,9/2/1970,0,NA,"Gujarat, Orissa states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1971-0001,/06/1971,/06/1971,Diffing the dates,NA,North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1971-0002,9/9/1971,9/9/1971,0,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1971-0003,/06/1971,/06/1971,Diffing the dates,NA,"Brahmaputra, Dhemaji, North Lakhimpur, Jorhat, Tezpur sub-divisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1974-0001,/06/1974,/06/1974,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1974-0002,7/2/1974,7/2/1974,0,NA,"Tinsukia, Dhemaji, Nowgong, Majuli, Jorhat, Dhubri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1975-0001,/07/1975,/07/1975,Diffing the dates,NA,"Northwest, Bihar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1977-0001,/08/1977,/08/1977,Diffing the dates,Riverine flood,Ganges region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1977-0002,/10/1977,/10/1977,Diffing the dates,NA,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1978-0001,/07/1978,/07/1978,Diffing the dates,NA,"North, Northeast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1978-0002,/09/1978,/09/1978,Diffing the dates,NA,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1979-0001,/07/1979,/07/1979,Diffing the dates,NA,"North West, North, North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1979-0002,/10/1979,/10/1979,Diffing the dates,NA,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1979-0003,/11/1979,/11/1979,Diffing the dates,NA,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1979-0004,8/25/1979,8/25/1979,0,NA,"Uttar Pradesh, Bihar, West Bengal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1980-0001,/07/1980,/07/1980,Diffing the dates,NA,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1980-0002,/07/1980,/07/1980,Diffing the dates,NA,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1980-0003,/08/1980,/08/1980,Diffing the dates,NA,"Uttar Pradesh, Bihar, Gujarat, Kerala, Haryana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1980-0004,/09/1980,/09/1980,Diffing the dates,NA,Orissa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1980-0005,/07/1980,/07/1980,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1981-0001,7/4/1981,7/4/1981,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1982-0001,/08/1982,/08/1982,Diffing the dates,NA,Northeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1982-0002,/06/1982,/06/1982,Diffing the dates,NA,North-East region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1983-0001,/07/1983,/07/1983,Diffing the dates,NA,"Upper Assama, Central Sikkim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1983-0002,/08/1983,/08/1983,Diffing the dates,NA,Central - Western,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1983-0003,/12/1983,/12/1983,Diffing the dates,NA,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1983-0004,/09/1983,/09/1983,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1984-0001,/05/1984,/05/1984,Diffing the dates,NA,North-East states,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1984-0002,6/25/1984,6/25/1984,0,NA,"West Bengal, Uttar Pradesh, Assam, Bihar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1984-0003,8/16/1984,8/16/1984,0,Flash flood,Ladakh area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1984-0004,/08/1984,/08/1984,Diffing the dates,NA,"W Bengal, Uttar Pradesh & Orissa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1984-0005,/09/1984,/09/1984,Diffing the dates,NA,North-East region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1985-0001,/06/1985,/06/1985,Diffing the dates,NA,Punjab (Western),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1985-0002,/06/1985,/06/1985,Diffing the dates,NA,"Uttar Pradesh,  West Bengal, Punjab (North, North-West, East India)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1985-0003,11/12/1985,11/12/1985,0,NA,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1985-0004,/09/1985,/09/1985,Diffing the dates,Riverine flood,"Uttar Pradesh, Bihar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1985-0005,6/23/1985,6/23/1985,0,Riverine flood,"Kerala, Assam, Bombay, Karnataka, Goa states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1986-0001,/08/1986,/08/1986,Diffing the dates,Riverine flood,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1986-0002,10/10/1986,10/10/1986,0,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1986-0003,//1986,//1986,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1987-0001,/08/1987,/08/1987,Diffing the dates,Riverine flood,"Assam, Bihar, West Bengal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1987-0002,/05/1987,/05/1987,Diffing the dates,NA, Cachemire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1987-0003,7/9/1987,7/9/1987,0,NA, Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1987-0004,9/18/1987,9/18/1987,0,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1988-0001,/06/1988,/06/1988,Diffing the dates,Riverine flood,"Bihar, West Bengal, Assam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1988-0002,9/22/1988,10/9/1988,17,Riverine flood,"Punjab, Himachal Pradesh, Haryana, Jamuu and Kashmir, Delhi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1988-0003,/08/1988,/08/1988,Diffing the dates,NA,"Uttar Pradesh, Assam, Bihar, West Bengal, Arunachal Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1989-0001,7/28/1989,7/28/1989,0,Riverine flood,"Maharashtra, Andhra Pradesh, Gujarat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1989-0002,/08/1989,/08/1989,Diffing the dates,Riverine flood,"Assam, Arunachal Pradesh, Manipur, Mizorem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1990-0001,3/21/1990,3/22/1990,1,Flash flood,"Jammu, Kargil district (Kashmir)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1990-0002,10/24/1990,10/28/1990,4,Riverine flood,Tami Nadu state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1990-0003,/08/1990,/08/1990,Diffing the dates,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1990-0004,6/13/1990,6/18/1990,5,Riverine flood,Bombay (Assam state),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1991-0001,7/13/1991,7/19/1991,6,Coastal flood,"Assam, Meghalaya states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1991-0002,6/10/1991,6/12/1991,2,Riverine flood,"Bombay, Kerala, Gujarat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1991-0003,5/7/1991,5/8/1991,1,Coastal flood,"Assam, Tripura, Arunachal, Mizorem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1991-0004,10/30/1991,10/30/1991,0,Riverine flood, Near Thondebhavi (Karnataka),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1991-0005,6/1/1991,7/9/1991,38,Riverine flood,Kerala state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1991-0006,7/30/1991,7/30/1991,0,Riverine flood,"Andhra Pradesh, Maharashtra, Orissa, Gujarat, Madhya Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1991-0007,8/15/1991,8/29/1991,14,Riverine flood,"Haryana, Uttar Pradesh, Himachal Pradesh, Bihar states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1991-0008,9/14/1991,9/15/1991,1,Riverine flood,West Bengal state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1992-0001,9/8/1992,31/09/1992,Diffing the dates,Riverine flood,"Uttar Pradesh, Jammu, Madhya Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1992-0002,10/8/1992,10/8/1992,0,Riverine flood,"Vamanapuram, Amravilla (Trivadrum district, Kerala state)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1992-0003,7/26/1992,7/31/1992,5,Riverine flood,Orissa state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1992-0004,11/10/1992,11/10/1992,0,NA,"Tamil Nadu, Kerala, Karnataka, Andhra Pradesh states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1992-0005,/09/1992,/09/1992,Diffing the dates,Riverine flood,"Banda, Allahbad, Kanpur (Uttar Pradesh)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1993-0001,7/8/1993,7/31/1993,23,NA,"Punjab, Haryana, Himachal Pradesh,  Gujarat, Jammu and Kashmir, Rajasthan, Madhya Pradesh, Chandigarh, Assam  states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1993-0002,10/11/1993,10/21/1993,10,Flash flood,Karnataka state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1993-0003,9/9/1993,9/17/1993,8,Riverine flood,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1993-0004,/05/1993,/05/1993,Diffing the dates,Riverine flood,"Tripura, Karamganj (Assam)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1993-0005,/07/1993,/07/1993,Diffing the dates,Riverine flood,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1994-0001,/05/1994,/10/1994,Diffing the dates,NA,"Assam, Arunachal Pradesh, Jammu and Kashmir, Himachal, Punjab, Uttar Pradesh, Goa, Kerala, Gujarat states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1994-0002,8/17/1994,8/17/1994,0,Riverine flood,New Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1995-0001,9/1/1995,9/20/1995,19,Riverine flood,"Bihar, Haryana, Punjab, Rajasthan, Himachal Pradesh, Jammu and Kasmir, Uttar Pradesh, West Bengal, Maharashtra states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1995-0002,9/5/1995,9/8/1995,3,Riverine flood,Sikkim state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1995-0003,10/23/1995,10/23/1995,0,Riverine flood,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1996-0001,8/23/1996,8/23/1996,0,NA,Jammu & Kashmir state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1996-0002,7/11/1996,7/11/1996,0,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1996-0003,10/21/1996,10/25/1996,4,Riverine flood,"Tamil Nadu, Andhra Pradesh, Kerala, Karnataka states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1996-0004,7/10/1996,7/24/1996,14,Riverine flood,"West Bengal, Arunachal Pradesh, Assam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1996-0005,8/25/1996,9/1/1996,7,NA,"Bihar, Assam, Gujarat, Haryana, Kerala, Rajasthan, Uttar Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1996-0006,7/17/1996,8/10/1996,24,Riverine flood,"Kishanganj, Darbhanga, Sitamarhi, Saharsa districts (Bihar state)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1997-0001,8/8/1997,8/14/1997,6,Riverine flood,"Chandigarh, Chirgaon, Himalayan state of Himachal Pradesh.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1997-0002,8/22/1997,8/22/1997,0,Coastal flood,Coastal districts of West Bengal  (no better info),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1997-0003,/09/1997,/09/1997,Diffing the dates,NA,"Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Gujarat, Himachal Pradesh, Jammu and Kashmir, Karnataka, Kerala, Maharashtra, Madyha Pradesh, Orissa, Punjab, Rajasthan, Sikkim, Uttar Pradesh, West Bengal states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1997-0004,6/22/1997,6/28/1997,6,Riverine flood,"Mehsana, Gandhi Nagar, Ahmedabad, Kheda, Sabarkanda, Vadodra, Banaskanda, Surender Nagar districts (Gujarat state)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1997-0005,/08/1997,/08/1997,Diffing the dates,NA,West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1997-0006,9/19/1997,9/24/1997,5,Riverine flood,Guntoor (Guntur) and Prakasham districts (Andhra Pradesh),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1998-0001,/08/1998,/08/1998,Diffing the dates,NA,"Assam, Arunachal, Bihar, Kerala, Meghalaya, Punjab, Sikkim, Uttar Pradesh, West Bengal states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1998-0002,9/16/1998,9/18/1998,2,Flash flood,"Gujarat, Maharashtra states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1998-0003,9/20/1998,9/20/1998,0,NA,"Andhra Pradesh, Hyderabad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1999-0001,7/11/1999,8/3/1999,23,Riverine flood,"Assam, Bihar, Gujarat, Karnataka, Kerala, Tripura, West Bengal, Arunachal Pradesh, Punjab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-1999-0002,/09/1999,/09/1999,Diffing the dates,NA,"Uttar Pradesh, Bihar, West Bengal, Madhya Prasdeh, Delhi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-2000-0001,6/10/2000,6/10/2000,0,Flash flood,"Yingkiang,Tuting villages (Upper Siang (70051) district, Arunachal Pradesh province), Along, Boleng villages (70054 district, Arunachal Pradesh province), Pasighat, Sika-bamin, Komlighat, Raneghat (70041 district, Arunachal Pradesh province), Tezu, Mahadevpur villages (Lohit district, Arunachal Pradesh province), Golaghat, Nagaon districts (Assam province),

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-2000-0002,/07/2000,/07/2000,Diffing the dates,Flash flood,"East Siang, 70041, West Siang, 70054, Upper Siang (70051), 70045, 70050, Lower Dibang Valley districts (Arunachal Pradesh province)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
UEI-EM-DAT-FL-2000-0003,8/2/2000,8/30/2000,28,Riverine flood,"Katihar, Sitamarhi districts (Bihar province), Kinnaur district (Himachal Pradesh province), Bankura, Barddhaman, Birbhum, Haora, Hugli, Maldah, Murshidabad, Nadia, North 24 Parganas, West Midnapore districts (West Bengal province), Pithoragarh, Naini Tal districts (Uttarakhand province), Ahmadabad district (Gujarat province), Andhra Pradesh, Assam, Arunachal Pradesh, Madhya Pradesh, Punjab, Uttar Pradesh, Maharashtra, Rajasthan, Chandigarh, Kerala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EM-DAT
